1.00000000e-02,5.82602893e+01
2.00000000e-02,4.11914592e+01
4.00000000e-02,2.88586833e+01
8.00000000e-02,7.61587465e+00
1.60000000e-01,4.95366619e+00
3.20000000e-01,3.24150749e+00
6.40000000e-01,1.52067707e+00
1.28000000e+00,8.80891603e-01
2.56000000e+00,5.09888508e-01
5.12000000e+00,3.13643363e-01
1.02400000e+01,1.99175514e-01
2.04800000e+01,1.15085026e-01
4.09600000e+01,7.98138234e-02
8.19200000e+01,6.60437942e-02
1.63840000e+02,5.26711078e-02
3.27680000e+02,2.46513282e-02
6.55360000e+02,2.51885590e-02
