4.00000000e-02,6.69949862e-01,1.35294768e+01,-5.26938332e+01,6.70040882e-01,1.35305326e+01,-5.26979453e+01,2.06588726e+01,9.06039546e+00,-3.52879105e+01,8.71425525e+00,1.82714903e+01,-1.99965421e+01,-3.64222571e-03,-4.21325921e-03,7.33501449e-03,-4.28694480e-03,-2.29743669e-03,8.94792473e-03
8.00000000e-02,1.33644339e+00,5.07709166e+01,-9.23519545e+01,1.33662489e+00,5.07748786e+01,-9.23591614e+01,4.13161951e+01,3.40005982e+01,-6.18468585e+01,1.74276537e+01,4.39165652e+01,-2.87174437e+01,-7.28445131e-03,-1.14390365e-02,1.17329835e-02,-8.57388944e-03,-8.62139144e-03,1.56822523e-02
1.20000000e-01,1.99687929e+00,1.02511343e+02,-1.09163492e+02,1.99715033e+00,1.02519342e+02,-1.09172011e+02,6.19708008e+01,6.86519386e+01,-7.31068892e+01,2.61395504e+01,7.05913638e+01,-2.40051964e+01,-1.09266772e-02,-1.98897711e-02,1.21059084e-02,-1.28608345e-02,-1.74074021e-02,1.85370001e-02
1.60000000e-01,2.65015484e+00,1.55950944e+02,-9.89694788e+01,2.65051429e+00,1.55963114e+02,-9.89772022e+01,8.26221949e+01,1.04443809e+02,-6.62820570e+01,3.48496719e+01,9.16973066e+01,-7.02520024e+00,-1.45689030e-02,-2.74748642e-02,8.36153265e-03,-1.71477794e-02,-2.64819271e-02,1.68059417e-02
2.00000000e-01,3.29693867e+00,1.97869560e+02,-6.42917174e+01,3.29738553e+00,1.97885001e+02,-6.42967346e+01,1.03270677e+02,1.32523506e+02,-4.30594974e+01,4.35581840e+01,1.02013361e+02,1.80225173e+01,-1.82111292e-02,-3.23178649e-02,1.42616458e-03,-2.14347248e-02,-3.36000500e-02,1.09173178e-02
2.40000000e-01,3.93950536e+00,2.17897148e+02,-1.37089265e+01,3.94003897e+00,2.17914152e+02,-1.37099964e+01,1.23917267e+02,1.45945841e+02,-9.18213405e+00,5.22656505e+01,9.89875486e+01,4.49422463e+01,-2.18533554e-02,-3.32206796e-02,-6.98447810e-03,-2.57216703e-02,-3.70008423e-02,2.32789545e-03
2.80000000e-01,4.58117276e+00,2.11079179e+02,4.02655070e+01,4.58179297e+00,2.11095652e+02,4.02686492e+01,1.44563452e+02,1.41390955e+02,2.69717672e+01,6.09728937e+01,8.33682202e+01,6.70752041e+01,-2.54955815e-02,-2.99599640e-02,-1.47897149e-02,-3.00086155e-02,-3.58429934e-02,-6.83741705e-03
3.20000000e-01,5.22548117e+00,1.79102320e+02,8.42791543e+01,5.22618840e+00,1.79116297e+02,8.42857313e+01,1.65210820e+02,1.19985446e+02,5.64608652e+01,6.96807913e+01,5.90189375e+01,7.89466940e+01,-2.91378077e-02,-2.33423758e-02,-2.00586342e-02,-3.42955609e-02,-3.04129397e-02,-1.43112435e-02
3.60000000e-01,5.87531756e+00,1.29877168e+02,1.07443737e+02,5.87611268e+00,1.29887303e+02,1.07452122e+02,1.85860667e+02,8.70237177e+01,7.19922803e+01,7.83900592e+01,3.19627587e+01,7.76203606e+01,-3.27800336e-02,-1.50050177e-02,-2.14877757e-02,-3.85825059e-02,-2.20540039e-02,-1.82446591e-02
4.00000000e-01,6.53220136e+00,7.55812941e+01,1.04028727e+02,6.53308546e+00,7.55871925e+01,1.04036845e+02,2.06513674e+02,5.06584715e+01,6.97254043e+01,8.71010741e+01,8.89233679e+00,6.34245453e+01,-3.64222595e-02,-7.01044087e-03,-1.87235889e-02,-4.28694509e-02,-1.28340750e-02,-1.76645892e-02
4.40000000e-01,7.19590858e+00,2.96466891e+01,7.48789891e+01,7.19688272e+00,2.96490028e+01,7.48848330e+01,2.27169743e+02,1.98842291e+01,5.02218299e+01,9.58137808e+01,-4.48561702e+00,3.98710655e+01,-4.00644852e-02,-1.33639701e-03,-1.24498966e-02,-4.71563957e-02,-5.03404064e-03,-1.27145353e-02
4.80000000e-01,7.86452721e+00,3.43688914e+00,2.72057789e+01,7.86559216e+00,3.43715742e+00,2.72079026e+01,2.47828016e+02,2.31264208e+00,1.83064470e+01,1.04527705e+02,-4.86198167e+00,1.27865093e+01,-4.37067107e-02,6.13431288e-04,-4.21872673e-03,-5.14433402e-02,-5.83524992e-04,-4.61907489e-03
5.20000000e-01,8.53493025e+00,3.43580778e+00,-2.71972191e+01,8.53608629e+00,3.43607583e+00,-2.71993409e+01,2.68487092e+02,2.28983843e+00,-1.81259376e+01,1.13242073e+02,7.85620910e+00,-1.11290659e+01,-4.73489363e-02,-1.64331753e-03,3.93363962e-03,-5.57302848e-02,-5.83526247e-04,4.61908374e-03
5.60000000e-01,9.20354924e+00,2.96437125e+01,-7.48714712e+01,9.20479610e+00,2.96460256e+01,-7.48773134e+01,2.89145370e+02,1.98214584e+01,-5.00632891e+01,1.21955999e+02,3.05227700e+01,-2.59595019e+01,-5.09911617e-02,-7.54835412e-03,9.99041562e-03,-6.00172292e-02,-5.03404433e-03,1.27145432e-02
6.00000000e-01,9.86725711e+00,7.55771587e+01,-1.04023035e+02,9.86859401e+00,7.55830562e+01,-1.04031152e+02,3.09801448e+02,5.05712592e+01,-6.96053668e+01,1.30668708e+02,5.75306242e+01,-2.80359975e+01,-5.46333878e-02,-1.56408508e-02,1.24532357e-02,-6.43041744e-02,-1.28340799e-02,1.76645948e-02
6.40000000e-01,1.05241417e+01,1.29872897e+02,-1.07440204e+02,1.05255676e+01,1.29883031e+02,-1.07448588e+02,3.30454466e+02,8.69336342e+01,-7.19177568e+01,1.39379725e+02,8.21988053e+01,-1.68446464e+01,-5.82756136e-02,-2.39188326e-02,1.07128313e-02,-6.85911194e-02,-2.20540091e-02,1.82446622e-02
6.80000000e-01,1.11739788e+01,1.79098969e+02,-8.42775777e+01,1.11754925e+01,1.79112945e+02,-8.42841544e+01,3.51104322e+02,1.19914771e+02,-5.64276082e+01,1.48088995e+02,9.84251030e+01,4.84643948e+00,-6.19178399e-02,-3.03344368e-02,5.19975541e-03,-7.28780649e-02,-3.04129437e-02,1.43112446e-02
7.20000000e-01,1.18182876e+01,2.11077579e+02,-4.02652016e+01,1.18198884e+01,2.11094051e+02,-4.02683438e+01,3.71751697e+02,1.41357168e+02,-2.69653219e+01,1.56796895e+02,1.02195544e+02,3.16718679e+01,-6.55600659e-02,-3.33005289e-02,-2.72213115e-03,-7.71650101e-02,-3.58429955e-02,6.83741648e-03
7.60000000e-01,1.24599551e+01,2.17897693e+02,1.37089608e+01,1.24616425e+01,2.17914697e+02,1.37100306e+01,3.92397884e+02,1.45957294e+02,9.18285460e+00,1.65504138e+02,9.25773152e+01,5.69961830e+01,-6.92022927e-02,-3.20833372e-02,-1.10930586e-02,-8.14519560e-02,-3.70008419e-02,-2.32789599e-03
8.00000000e-01,1.31025215e+01,1.97872116e+02,6.42925478e+01,1.31042957e+01,1.97887558e+02,6.42975652e+01,4.13044469e+02,1.32577362e+02,4.30769961e+01,1.74211604e+02,7.19495078e+01,7.45552537e+01,-7.28445187e-02,-2.69839789e-02,-1.78421720e-02,-8.57389012e-02,-3.36000474e-02,-1.09173176e-02
8.40000000e-01,1.37493048e+01,1.55954879e+02,9.89719756e+01,1.37511663e+01,1.55967050e+02,9.89796995e+01,4.33692943e+02,1.04526740e+02,6.63346865e+01,1.82920114e+02,4.54146126e+01,8.00058089e+01,-7.64867454e-02,-1.92639671e-02,-2.12998301e-02,-9.00258470e-02,-2.64819230e-02,-1.68059395e-02
8.80000000e-01,1.44025796e+01,1.02515682e+02,1.09168114e+02,1.44045295e+01,1.02523683e+02,1.09176633e+02,4.54344327e+02,6.87434253e+01,7.32043127e+01,1.91630233e+02,1.95363347e+01,7.19998159e+01,-8.01289713e-02,-1.08331293e-02,-2.06106549e-02,-9.43127921e-02,-1.74073974e-02,-1.85369956e-02
9.20000000e-01,1.50630147e+01,5.07745879e+01,9.23586326e+01,1.50650542e+01,5.07785507e+01,9.23658409e+01,4.74998922e+02,3.40780039e+01,6.19876589e+01,2.00342127e+02,7.15954092e-01,5.25179387e+01,-8.37711970e-02,-3.77714248e-03,-1.59451389e-02,-9.85997369e-02,-8.62138728e-03,-1.56822453e-02
9.60000000e-01,1.57295077e+01,1.35315716e+01,5.27019918e+01,1.57316377e+01,1.35326278e+01,5.27061056e+01,4.95656237e+02,9.10456547e+00,3.54599413e+01,2.09055524e+02,-6.39113510e+00,2.63795881e+01,-8.74134227e-02,1.58436034e-04,-8.45746843e-03,-1.02886682e-01,-2.29743481e-03,-8.94791609e-03
1.00000000e+00,1.63994574e+01,2.28959791e-11,8.69644684e-03,1.64016784e+01,4.57959723e-11,8.69830341e-03,5.16315107e+02,-4.81026409e-10,1.83389861e-01,2.17769778e+02,-2.70122966e-02,5.07622083e-02,-9.10556479e-02,-2.77089922e-09,6.95494620e-09,-1.07173626e-01,-6.64099791e-10,9.42636326e-09
